0,10,1,1,24,22,110,10,60,7600,45
Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (�C),Mixing speed (rpm),Drying time (min),Drying Temp (�C),Centrifuge (rpm),Centrifuge (min)
Time,0.83,1.07,2.79,3.44,5.15,3.47,2.4,1.75,1.2,0.9
49,-8.78E-01,-9.02E-01,-1.23E+00,-1.28E+00,-1.54E+00,-1.47E+00,-1.31E+00,-1.13E+00,-1.13E+00,-1.01E+00
50,-8.68E-01,-8.94E-01,-1.22E+00,-1.27E+00,-1.53E+00,-1.45E+00,-1.29E+00,-1.12E+00,-1.13E+00,-1.01E+00
51,-8.59E-01,-8.87E-01,-1.21E+00,-1.26E+00,-1.51E+00,-1.43E+00,-1.28E+00,-1.11E+00,-1.12E+00,-1.00E+00
52,-8.49E-01,-8.85E-01,-1.20E+00,-1.24E+00,-1.50E+00,-1.41E+00,-1.27E+00,-1.10E+00,-1.11E+00,-1.00E+00
53,-8.40E-01,-8.78E-01,-1.19E+00,-1.23E+00,-1.48E+00,-1.39E+00,-1.25E+00,-1.09E+00,-1.10E+00,-9.98E-01
54,-8.34E-01,-8.71E-01,-1.18E+00,-1.22E+00,-1.47E+00,-1.38E+00,-1.24E+00,-1.09E+00,-1.10E+00,-9.95E-01
55,-8.29E-01,-8.65E-01,-1.17E+00,-1.21E+00,-1.46E+00,-1.36E+00,-1.23E+00,-1.08E+00,-1.09E+00,-9.91E-01
56,-8.19E-01,-8.59E-01,-1.16E+00,-1.20E+00,-1.44E+00,-1.35E+00,-1.22E+00,-1.07E+00,-1.08E+00,-9.90E-01
57,-8.14E-01,-8.54E-01,-1.15E+00,-1.19E+00,-1.43E+00,-1.33E+00,-1.21E+00,-1.07E+00,-1.08E+00,-9.89E-01
58,-8.08E-01,-8.51E-01,-1.14E+00,-1.18E+00,-1.42E+00,-1.32E+00,-1.20E+00,-1.06E+00,-1.07E+00,-9.88E-01
59,-8.00E-01,-8.48E-01,-1.13E+00,-1.17E+00,-1.41E+00,-1.31E+00,-1.19E+00,-1.06E+00,-1.07E+00,-9.84E-01
60,-7.97E-01,-8.44E-01,-1.12E+00,-1.16E+00,-1.40E+00,-1.29E+00,-1.18E+00,-1.05E+00,-1.06E+00,-9.80E-01
