0,10,1,1,24,22,110,10,60,7600,45,,,,,
Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (°C),Mixing speed (rpm),Drying time (min),Drying Temp (°C),Centrifuge (rpm),Centrifuge (min),,,,,
Time,0.79,0.99,2.6,3.39,4.59,6.03,6.68,7.05,5.54,4.88,3.47,2.95,1.88,1.05,0.67
44,-5.55E-01,-5.48E-01,-7.65E-01,-9.31E-01,-1.38E+00,-1.46E+00,-1.93E+00,-2.04E+00,-1.53E+00,-1.35E+00,-1.36E+00,-1.16E+00,-7.98E-01,-7.37E-01,-6.88E-01
45,-5.49E-01,-5.44E-01,-7.58E-01,-9.22E-01,-1.37E+00,-1.45E+00,-1.91E+00,-2.01E+00,-1.51E+00,-1.34E+00,-1.34E+00,-1.15E+00,-7.90E-01,-7.29E-01,-6.86E-01
46,-5.47E-01,-5.40E-01,-7.49E-01,-9.15E-01,-1.35E+00,-1.43E+00,-1.88E+00,-1.99E+00,-1.49E+00,-1.32E+00,-1.32E+00,-1.13E+00,-7.87E-01,-7.24E-01,-6.80E-01
47,-5.42E-01,-5.38E-01,-7.42E-01,-9.07E-01,-1.34E+00,-1.42E+00,-1.86E+00,-1.97E+00,-1.47E+00,-1.30E+00,-1.30E+00,-1.12E+00,-7.79E-01,-7.18E-01,-6.78E-01
48,-5.38E-01,-5.34E-01,-7.37E-01,-8.98E-01,-1.32E+00,-1.41E+00,-1.84E+00,-1.95E+00,-1.46E+00,-1.29E+00,-1.28E+00,-1.10E+00,-7.75E-01,-7.12E-01,-6.76E-01
49,-5.36E-01,-5.29E-01,-7.29E-01,-8.89E-01,-1.31E+00,-1.40E+00,-1.82E+00,-1.93E+00,-1.44E+00,-1.27E+00,-1.26E+00,-1.09E+00,-7.68E-01,-7.08E-01,-6.70E-01
50,-5.30E-01,-5.28E-01,-7.21E-01,-8.80E-01,-1.30E+00,-1.39E+00,-1.81E+00,-1.91E+00,-1.43E+00,-1.26E+00,-1.25E+00,-1.07E+00,-7.63E-01,-7.02E-01,-6.68E-01
51,-5.28E-01,-5.27E-01,-7.18E-01,-8.73E-01,-1.29E+00,-1.38E+00,-1.79E+00,-1.89E+00,-1.41E+00,-1.25E+00,-1.23E+00,-1.06E+00,-7.59E-01,-6.98E-01,-6.67E-01
52,-5.25E-01,-5.22E-01,-7.10E-01,-8.67E-01,-1.27E+00,-1.38E+00,-1.77E+00,-1.88E+00,-1.40E+00,-1.23E+00,-1.22E+00,-1.05E+00,-7.55E-01,-6.92E-01,-6.65E-01
53,-5.20E-01,-5.18E-01,-7.08E-01,-8.59E-01,-1.26E+00,-1.37E+00,-1.75E+00,-1.86E+00,-1.38E+00,-1.22E+00,-1.20E+00,-1.04E+00,-7.49E-01,-6.88E-01,-6.59E-01
54,-5.18E-01,-5.18E-01,-7.00E-01,-8.50E-01,-1.25E+00,-1.36E+00,-1.74E+00,-1.86E+00,-1.37E+00,-1.21E+00,-1.19E+00,-1.03E+00,-7.47E-01,-6.85E-01,-6.58E-01
55,-5.15E-01,-5.16E-01,-6.98E-01,-8.43E-01,-1.24E+00,-1.35E+00,-1.72E+00,-1.85E+00,-1.36E+00,-1.20E+00,-1.18E+00,-1.01E+00,-7.41E-01,-6.79E-01,-6.57E-01
56,-5.10E-01,-5.11E-01,-6.90E-01,-8.37E-01,-1.23E+00,-1.35E+00,-1.71E+00,-1.84E+00,-1.35E+00,-1.19E+00,-1.16E+00,-1.00E+00,-7.39E-01,-6.77E-01,-6.52E-01
57,-5.09E-01,-5.09E-01,-6.88E-01,-8.29E-01,-1.22E+00,-1.34E+00,-1.70E+00,-1.82E+00,-1.33E+00,-1.18E+00,-1.15E+00,-9.92E-01,-7.38E-01,-6.70E-01,-6.50E-01
58,-5.07E-01,-5.08E-01,-6.85E-01,-8.25E-01,-1.21E+00,-1.34E+00,-1.69E+00,-1.80E+00,-1.32E+00,-1.17E+00,-1.14E+00,-9.85E-01,-7.32E-01,-6.68E-01,-6.48E-01
59,-5.04E-01,-5.08E-01,-6.79E-01,-8.19E-01,-1.20E+00,-1.33E+00,-1.68E+00,-1.79E+00,-1.32E+00,-1.16E+00,-1.13E+00,-9.76E-01,-7.29E-01,-6.68E-01,-6.48E-01
60,-5.00E-01,-5.07E-01,-6.83E-01,-8.10E-01,-1.20E+00,-1.33E+00,-1.67E+00,-1.77E+00,-1.31E+00,-1.15E+00,-1.12E+00,-9.67E-01,-7.28E-01,-6.65E-01,-6.43E-01
